"msa","name_msa","fipstate","fipscty","name_county"
"10180","Abilene, TX","48","059","Callahan County, Texas"
"10420","Akron, OH","39","133","Portage County, Ohio"
"10500","Albany, GA","13","321","Worth County, Georgia"
"10540","Albany, OR","41","043","Linn County, Oregon"
"10580","Albany-Schenectady-Troy, NY","36","001","Albany County, New York"
"10740","Albuquerque, NM","35","061","Valencia County, New Mexico"
"10780","Alexandria, LA","22","079","Rapides Parish, Louisiana"
"10900","Allentown-Bethlehem-Easton, PA-NJ","42","095","Northampton County, Pennsylvania"
"11020","Altoona, PA","42","013","Blair County, Pennsylvania"
"11100","Amarillo, TX","48","375","Potter County, Texas"
"11180","Ames, IA","19","169","Story County, Iowa"
"11260","Anchorage, AK","02","020","Anchorage Municipality, Alaska"
"11460","Ann Arbor, MI","26","161","Washtenaw County, Michigan"
"11500","Anniston-Oxford, AL","01","015","Calhoun County, Alabama"
"11540","Appleton, WI","55","015","Calumet County, Wisconsin"
"11700","Asheville, NC","37","115","Madison County, North Carolina"
"12020","Athens-Clarke County, GA","13","221","Oglethorpe County, Georgia"
"12060","Atlanta-Sandy Springs-Alpharetta, GA","13","297","Walton County, Georgia"
"12100","Atlantic City-Hammonton, NJ","34","001","Atlantic County, New Jersey"
"12220","Auburn-Opelika, AL","01","081","Lee County, Alabama"
"12260","Augusta-Richmond County, GA-SC","13","033","Burke County, Georgia"
"12420","Austin-Round Rock-Georgetown, TX","48","491","Williamson County, Texas"
"12540","Bakersfield, CA","06","029","Kern County, California"
"12580","Baltimore-Columbia-Towson, MD","24","510","Baltimore city, Maryland"
"12620","Bangor, ME","23","019","Penobscot County, Maine"
"12700","Barnstable Town, MA","25","001","Barnstable County, Massachusetts"
"12940","Baton Rouge, LA","22","125","West Feliciana Parish, Louisiana"
"12980","Battle Creek, MI","26","025","Calhoun County, Michigan"
"13020","Bay City, MI","26","017","Bay County, Michigan"
"13140","Beaumont-Port Arthur, TX","48","245","Jefferson County, Texas"
"13220","Beckley, WV","54","081","Raleigh County, West Virginia"
"13380","Bellingham, WA","53","073","Whatcom County, Washington"
"13460","Bend, OR","41","017","Deschutes County, Oregon"
"13740","Billings, MT","30","111","Yellowstone County, Montana"
"13780","Binghamton, NY","36","107","Tioga County, New York"
"13820","Birmingham-Hoover, AL","01","127","Walker County, Alabama"
"13900","Bismarck, ND","38","015","Burleigh County, North Dakota"
"13980","Blacksburg-Christiansburg, VA","51","750","Radford city, Virginia"
"14010","Bloomington, IL","17","039","De Witt County, Illinois"
"14020","Bloomington, IN","18","119","Owen County, Indiana"
"14100","Bloomsburg-Berwick, PA","42","037","Columbia County, Pennsylvania"
"14260","Boise City, ID","16","015","Boise County, Idaho"
"14460","Boston-Cambridge-Newton, MA-NH","33","017","Strafford County, New Hampshire"
"14500","Boulder, CO","08","013","Boulder County, Colorado"
"14540","Bowling Green, KY","21","031","Butler County, Kentucky"
"14740","Bremerton-Silverdale-Port Orchard, WA ","53","035","Kitsap County, Washington"
"14860","Bridgeport-Stamford-Norwalk, CT","09","001","Fairfield County, Connecticut"
"15180","Brownsville-Harlingen, TX","48","061","Cameron County, Texas"
"15260","Brunswick, GA","13","191","McIntosh County, Georgia"
"15380","Buffalo-Cheektowaga, NY","36","029","Erie County, New York"
"15500","Burlington, NC","37","001","Alamance County, North Carolina"
"15540","Burlington-South Burlington, VT","50","007","Chittenden County, Vermont"
