"Table 5. Real Per Capita Personal Income by Metropolitan Area, 2017-2018",,,,,,
," Per capita personal income
[Dollars] ",,, Real per capita personal income                                                 [Chained (2012) dollars] ,,
,,,,,,
,2017,2018,Percent change,2017,2018,Percent change
<<<<<<< HEAD,,,,,,
United States,"51,885","54,446",4.9,"48,980","50,346",2.8
United States nonmetropolitan portion,"39,690","41,552",4.7,"42,997","44,417",3.3
Metropolitan Statistical Areas,,,,,,
"Abilene, TX","40,862","43,140",5.6,"42,897","43,979",2.5
"Akron, OH","47,343","49,423",4.4,"49,779","51,138",2.7
"Albany, GA","36,522","37,500",2.7,"41,835","42,158",0.8
"Albany-Lebanon, OR","40,865","42,891",5,"40,495","41,374",2.2
"Albany-Schenectady-Troy, NY","56,264","58,104",3.3,"53,420","54,205",1.5
"Albuquerque, NM","40,715","42,536",4.5,"40,915","42,090",2.9
"Alexandria, LA","42,200","43,995",4.3,"46,026","47,550",3.3
"Allentown-Bethlehem-Easton, PA-NJ","51,236","54,120",5.6,"48,770","50,560",3.7
"Altoona, PA","44,160","46,743",5.8,"46,514","48,144",3.5
"Amarillo, TX","44,111","46,131",4.6,"45,262","46,648",3.1
"Ames, IA","41,321","43,519",5.3,"42,902","44,324",3.3
"Anchorage, AK","58,093","60,953",4.9,"51,123","53,053",3.8
"Ann Arbor, MI","56,729","59,363",4.6,"53,435","54,673",2.3
"Anniston-Oxford, AL","35,721","37,120",3.9,"40,472","41,630",2.9
"Appleton, WI","49,292","51,134",3.7,"51,963","53,106",2.2
"Asheville, NC","43,265","45,433",5,"44,270","45,325",2.4
"Athens-Clarke County, GA","38,884","40,690",4.6,"40,469","41,564",2.7
"Atlanta-Sandy Springs-Alpharetta, GA","50,269","52,473",4.4,"49,207","50,265",2.2
"Atlantic City-Hammonton, NJ","46,549","48,668",4.6,"43,958","45,248",2.9
"Auburn-Opelika, AL","36,437","38,036",4.4,"41,272","41,538",0.6
"Augusta-Richmond County, GA-SC","40,502","42,053",3.8,"43,376","44,093",1.7
"Austin-Round Rock-Georgetown, TX","55,530","58,773",5.8,"52,831","54,680",3.5
"Bakersfield, CA","38,467","39,703",3.2,"37,850","38,378",1.4
"Baltimore-Columbia-Towson, MD","59,570","62,402",4.8,"52,891","54,502",3
"Bangor, ME","39,976","42,053",5.2,"39,225","40,624",3.6
"Barnstable Town, MA","70,777","74,756",5.6,"63,899","66,129",3.5
"Baton Rouge, LA","45,865","48,042",4.7,"47,419","48,815",2.9
"Battle Creek, MI","38,608","40,276",4.3,"41,408","42,810",3.4
"Bay City, MI","40,192","41,722",3.8,"44,582","45,456",2
"Beaumont-Port Arthur, TX","42,728","44,527",4.2,"45,535","47,050",3.3
"Beckley, WV","36,477","38,717",6.1,"45,737","47,088",3
"Bellingham, WA","46,719","48,792",4.4,"44,694","45,368",1.5
"Bend, OR","53,033","55,143",4,"49,614","50,584",2
"Billings, MT","49,558","52,019",5,"49,060","51,085",4.1
"Binghamton, NY","43,201","44,817",3.7,"42,823","43,632",1.9
"Birmingham-Hoover, AL","48,618","50,979",4.9,"52,288","53,594",2.5
"Bismarck, ND","54,507","56,564",3.8,"55,362","56,819",2.6
"Blacksburg-Christiansburg, VA","36,723","38,538",4.9,"39,410","40,334",2.3
"Bloomington, IL","47,247","49,180",4.1,"48,468","49,787",2.7
"Bloomington, IN","40,079","41,947",4.7,"41,331","42,648",3.2
"Bloomsburg-Berwick, PA","43,692","45,527",4.2,"44,412","45,840",3.2
"Boise City, ID","44,062","45,973",4.3,"45,030","45,819",1.8
"Boston-Cambridge-Newton, MA-NH","74,779","78,694",5.2,"62,721","64,224",2.4
"Boulder, CO","69,298","73,394",5.9,"61,284","63,893",4.3
"Bowling Green, KY","35,863","36,740",2.4,"40,192","40,508",0.8
"Bremerton-Silverdale-Port Orchard, WA","52,833","56,244",6.5,"46,858","48,617",3.8
"Bridgeport-Stamford-Norwalk, CT","112,769","120,630",7,"92,384","97,556",5.6
"Brownsville-Harlingen, TX","27,427","28,756",4.8,"31,400","32,301",2.9
"Brunswick, GA","39,058","41,092",5.2,"42,766","43,547",1.8
"Buffalo-Cheektowaga, NY","48,879","50,414",3.1,"49,140","49,571",0.9
"Burlington, NC","38,141","39,342",3.1,"40,568","40,947",0.9
"Burlington-South Burlington, VT","55,445","57,575",3.8,"49,837","50,753",1.8
"California-Lexington Park, MD","54,446","56,820",4.4,"52,111","53,980",3.6
"Canton-Massillon, OH","42,937","44,767",4.3,"46,877","48,304",3
"Cape Coral-Fort Myers, FL","48,872","51,266",4.9,"47,951","48,853",1.9
"Cape Girardeau, MO-IL","41,882","43,850",4.7,"48,012","48,720",1.5
"Carbondale-Marion, IL","38,782","40,701",4.9,"44,307","45,514",2.7
"Carson City, NV","48,065","50,754",5.6,"47,762","48,967",2.5
"Casper, WY","62,751","69,379",10.6,"62,706","68,202",8.8
"Cedar Rapids, IA","49,721","52,168",4.9,"53,143","54,960",3.4
"Chambersburg-Waynesboro, PA","44,239","46,403",4.9,"44,567","45,718",2.6
"Champaign-Urbana, IL","43,644","45,975",5.3,"44,508","46,468",4.4
"Charleston, WV","41,322","44,053",6.6,"45,491","47,533",4.5
"Charleston-North Charleston, SC","48,769","50,958",4.5,"48,140","49,047",1.9
"Charlotte-Concord-Gastonia, NC-SC","50,043","52,176",4.3,"50,688","51,625",1.8
"Charlottesville, VA","63,300","66,577",5.2,"60,765","62,630",3.1
"Chattanooga, TN-GA","44,198","45,900",3.9,"47,475","48,178",1.5
"Cheyenne, WY","49,746","52,039",4.6,"49,426","51,384",4
"Chicago-Naperville-Elgin, IL-IN-WI","58,014","61,089",5.3,"53,385","55,154",3.3
"Chico, CA","42,653","44,346",4,"40,839","41,464",1.5
"Cincinnati, OH-KY-IN","51,729","54,176",4.7,"54,572","56,095",2.8
"Clarksville, TN-KY","39,426","39,991",1.4,"42,076","41,859",-0.5
"Cleveland, TN","37,063","38,371",3.5,"42,525","42,151",-0.9
"Cleveland-Elyria, OH","51,409","53,738",4.5,"54,155","55,623",2.7
"Coeur d'Alene, ID","43,129","44,987",4.3,"43,612","44,345",1.7
"College Station-Bryan, TX","37,569","39,533",5.2,"38,514","39,635",2.9
"Colorado Springs, CO","46,708","48,492",3.8,"45,124","45,568",1
"Columbia, MO","44,916","46,510",3.5,"47,698","48,538",1.8
"Columbia, SC","43,750","44,906",2.6,"45,273","45,596",0.7
"Columbus, GA-AL","39,407","41,067",4.2,"42,040","43,041",2.4
"Columbus, IN","47,987","49,922",4,"51,469","52,344",1.7
"Columbus, OH","49,338","51,165",3.7,"50,964","51,871",1.8
"Corpus Christi, TX","42,389","44,311",4.5,"43,165","44,299",2.6
"Corvallis, OR","44,519","47,019",5.6,"41,482","42,901",3.4
"Crestview-Fort Walton Beach-Destin, FL","49,800","51,655",3.7,"50,051","51,038",2
"Cumberland, MD-WV","38,342","40,049",4.5,"42,058","43,363",3.1
"Dallas-Fort Worth-Arlington, TX","53,391","55,886",4.7,"50,681","51,755",2.1
"Dalton, GA","34,984","36,316",3.8,"39,661","40,158",1.3
"Danville, IL","37,461","39,481",5.4,"44,854","46,834",4.4
"Daphne-Fairhope-Foley, AL","43,989","45,596",3.7,"46,433","47,069",1.4
"Davenport-Moline-Rock Island, IA-IL","47,295","49,172",4,"50,629","51,668",2.1
"Dayton-Kettering, OH","45,751","47,687",4.2,"49,005","50,339",2.7
"Decatur, AL","37,050","38,719",4.5,"42,760","43,243",1.1
"Decatur, IL","45,425","48,214",6.1,"50,784","52,706",3.8
"Deltona-Daytona Beach-Ormond Beach, FL","41,165","43,028",4.5,"41,019","41,810",1.9
"Denver-Aurora-Lakewood, CO","60,604","64,287",6.1,"54,743","57,109",4.3
"Des Moines-West Des Moines, IA","51,782","54,098",4.5,"52,985","54,437",2.7
"Detroit-Warren-Dearborn, MI","50,759","53,086",4.6,"50,553","51,829",2.5
"Dothan, AL","39,194","40,883",4.3,"44,694","45,419",1.6
"Dover, DE","40,438","42,023",3.9,"41,168","42,463",3.1
"Dubuque, IA","46,242","49,085",6.1,"48,759","51,064",4.7
"Duluth, MN-WI","43,835","46,250",5.5,"46,713","48,018",2.8
"Durham-Chapel Hill, NC","51,158","54,036",5.6,"51,394","53,100",3.3
"East Stroudsburg, PA","40,393","42,722",5.8,"39,735","40,993",3.2
"Eau Claire, WI","45,188","47,450",5,"47,825","49,468",3.4
"El Centro, CA","36,537","36,974",1.2,"38,382","38,366",0
"Elizabethtown-Fort Knox, KY","40,922","42,144",3,"45,866","45,800",-0.1
"Elkhart-Goshen, IN","45,451","46,816",3,"48,460","49,148",1.4
"Elmira, NY","42,745","44,373",3.8,"42,655","43,325",1.6
"El Paso, TX","34,228","35,836",4.7,"36,725","37,693",2.6
"Enid, OK","42,493","44,465",4.6,"44,879","46,203",3
"Erie, PA","42,308","44,903",6.1,"43,531","45,366",4.2
