"Table 6. Regional Price Parities by Metropolitan Area, 2018",,,,
, Regional price parities ,,,
, All items , Goods , Services ,
,,,Rents, Other 
<<<<<<< HEAD
United States1,100,98.9,101.9,100
=======
United States1,100.0,98.9,101.9,100.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
United States nonmetropolitan portion,87.2,94.7,62.5,93.7
Metropolitan Statistical Areas,,,,
"Abilene, TX",91.4,96.8,81.6,92.6
"Akron, OH",90.1,95.9,76.7,91.9
"Albany, GA",82.9,96.8,52.9,94.6
"Albany-Lebanon, OR",96.6,101.5,89.8,95.8
"Albany-Schenectady-Troy, NY",99.9,98.7,102.4,99.9
"Albuquerque, NM",94.2,93.6,87.7,100.3
<<<<<<< HEAD
"Alexandria, LA",86.2,97,63.6,92.6
"Allentown-Bethlehem-Easton, PA-NJ",99.8,99,98.1,101.7
=======
"Alexandria, LA",86.2,97.0,63.6,92.6
"Allentown-Bethlehem-Easton, PA-NJ",99.8,99.0,98.1,101.7
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Altoona, PA",90.5,98.7,64.9,99.9
"Amarillo, TX",92.2,97.2,83.1,92.6
"Ames, IA",91.5,93.4,90.1,90.4
"Anchorage, AK",107.1,101.5,134.1,99.5
"Ann Arbor, MI",101.2,98.4,115.5,96.8
"Anniston-Oxford, AL",83.1,97.5,52.2,91.8
<<<<<<< HEAD
"Appleton, WI",89.8,96,74.1,91.5
"Asheville, NC",93.4,95.9,87.9,94.7
"Athens-Clarke County, GA",91.3,97.3,77.5,94.6
"Atlanta-Sandy Springs-Alpharetta, GA",97.3,98.7,95.9,96.8
"Atlantic City-Hammonton, NJ",100.3,100.9,93.4,104
"Auburn-Opelika, AL",85.4,92,70.4,91.6
"Augusta-Richmond County, GA-SC",88.9,97.1,69.5,94.6
"Austin-Round Rock-Georgetown, TX",100.2,97.4,120.6,92.6
"Bakersfield, CA",96.4,96.3,89.4,102
=======
"Appleton, WI",89.8,96.0,74.1,91.5
"Asheville, NC",93.4,95.9,87.9,94.7
"Athens-Clarke County, GA",91.3,97.3,77.5,94.6
"Atlanta-Sandy Springs-Alpharetta, GA",97.3,98.7,95.9,96.8
"Atlantic City-Hammonton, NJ",100.3,100.9,93.4,104.0
"Auburn-Opelika, AL",85.4,92.0,70.4,91.6
"Augusta-Richmond County, GA-SC",88.9,97.1,69.5,94.6
"Austin-Round Rock-Georgetown, TX",100.2,97.4,120.6,92.6
"Bakersfield, CA",96.4,96.3,89.4,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Baltimore-Columbia-Towson, MD",106.7,103.1,113.7,104.9
"Bangor, ME",96.5,98.7,85.5,102.6
"Barnstable Town, MA",105.4,98.7,122.4,102.6
"Baton Rouge, LA",91.7,96.3,83.4,92.6
<<<<<<< HEAD
"Battle Creek, MI",87.7,96,69.2,91.5
"Bay City, MI",85.6,96,60.6,91.5
"Beaumont-Port Arthur, TX",88.2,97.4,67.7,92.6
"Beckley, WV",76.6,92.1,45.8,94.5
"Bellingham, WA",100.3,96.3,105.2,102
=======
"Battle Creek, MI",87.7,96.0,69.2,91.5
"Bay City, MI",85.6,96.0,60.6,91.5
"Beaumont-Port Arthur, TX",88.2,97.4,67.7,92.6
"Beckley, WV",76.6,92.1,45.8,94.5
"Bellingham, WA",100.3,96.3,105.2,102.0
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
"Bend, OR",101.6,101.5,110.1,95.8
"Billings, MT",94.9,94.2,89.4,99.5
"Binghamton, NY",95.7,98.7,84.7,99.9
"Birmingham-Hoover, AL",88.7,97.3,69.1,91.8
"Bismarck, ND",92.8,95.3,88.2,92.3
"Blacksburg-Christiansburg, VA",89.1,92.1,79.1,94.6
<<<<<<< HEAD
"Bloomington, IL",92.1,96,85.2,91.5
=======
"Bloomington, IL",92.1,96.0,85.2,91.5
>>>>>>> 25e9ffb2bff8e56f2e8f1b6aa7d00e89a0ddb6f6
